id,title,description,category,image,imageCaption,imageCredit,pubDate,tags,creator,source,language,imageName
27e198b475e16f3d,"בדרך לזכייה בגמר ""האח הגדול""? האקסית של יובל לוי מפתיעה","פיינליסט ""האח הגדול"" יגלה בגמר לאיזה מקום יגיע בחמישיית הגמר, כאשר האקסית המיתולוגית, מכבי פתח תקווה בשורות מחלקת הנוער שלה שיחק במשך 8 שנים, החליטה להתגייס בנסיון להוביל אותו לזכייה: ""צריך את העזרה שלנו בדרך לזכייה, כולנו מצביעים ליובל""",ספורט,https://www.israelhayom.co.il/wp-content/uploads/2025/07/16/16/Screenshot-2025-07-16-103730.png,יובל לוי,רשת 13,2025-09-12T16:53:36Z,גמר האח הגדול|האח הגדול|יובל לוי|מכבי פתח תקווה|רשת 13,מערכת אופסייד,hayom,,
494724ec3d141073,"""שמור על הצוואר"": פוסט דוחה על צ'ארלי קירק גרם לפיטורים ב-NFL","קבוצת הפוטבול קרוליינה פנתרס פיטרה את מתאם התקשורת שלה, צ'ארלי רוק, בעקבות ההתייחסות שלו ברשתות לרצח הפעיל השמרני: ""הדעות של עובדינו אינן מייצגות את הקבוצה"" • פיטורים גם בטלוויזיה ובאוניברסיטאות",ענפים נוספים,https://www.israelhayom.co.il/wp-content/uploads/2025/09/10/10/AFP_743Z79E.jpg,צ'ארלי קירק,אי.אף.פי,2025-09-12T16:39:53Z,NFL|צ'ארלי קירק,סוכנויות הידיעות,hayom,,
aa39065f22c3d6ac,"חכמה יותר, קטלנית יותר: פצצת העתיד של ארה""ב נגד מתקני גרעין מבוצרים","במתקפה על מתקני הגרעין באיראן השתמשה ארה""ב לראשונה במפצחת הבונקרים החזקה ביותר בעולם, ה-MOP, וכעת מפתח הצבא האמריקני פצצה חדשה - NGP, שתהיה אמנם קלה יותר, אבל ""חכמה"" יותר, ואולי אף תכלול מנוע רקטי שיסייע לה לחדור לעומק האדמה: ""נקדים את האויבים, שמחפשים דרכים להתאים את עצמם""",דעות-חדשות בעולם,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/09/11/HJNb4Xljlg/HJNb4Xljlg_0_0_850_479_0_medium.jpg,"ניסוי של צבא ארה""ב ב פצצה חודרת בונקרים MOP GBU-57 בשנת 2020",,2025-09-12T16:30:48Z,"גרעין , ארצות הברית , וידאו , צבא ארה""ב , פצצה , תקיפה באיראן , מלחמת איראן|מבזקים|דעות|חדשות בעולם","דניאל אדלסון, ניו יורק",ynet,,
e6eaab9b3120a9b2,בית המשפט שחרר נאשמת בריגול שילדה תינוק בכלא – גורמי ביטחון ביקרו בחריפות,"אם לחמישה, תושבת הפזורה הבדואית, שהוגש נגדה כתב אישום בגין ריגול לאיראן – שוחררה לבית קרובי משפחתה • השופט: ""יש כאן נסיבות חריגות"" • גורם ביטחוני: ""החלטה זו פוגעת באמון הציבור במערכת המשפט ובמאבקה של ישראל בטרור""",משפט,https://www.israelhayom.co.il/wp-content/uploads/2024/12/09/09/Screenshot-2024-12-09-090815.jpg,מעצר חשוד בריגול עבור איראן. ארכיון,"דוברות המשטרה ושב""כ",2025-09-12T16:16:19Z,ריגול,איציק סבן,hayom,,
418ef500646ce83e,"גידי גוב על בת הזוג החדשה שצעירה ממנו בעשור: ""הכרתי אותה בשידוך כמו בבני ברק""","הזמר והשחקן יתארח בשבת ב""ראיון מיוחד"" בקשת 12 ויספר על פטירת אשתו ונכדתו מסרטן • בהצצה לראיון הוא מגלה שהוא גר עם בת זוג חדשה",טלוויזיה,https://www.israelhayom.co.il/wp-content/uploads/2025/09/12/12/Capture-1.jpg,"גידי גוב ב""ראיון מיוחד""",קשת 12,2025-09-12T16:00:13Z,גידי גוב|קשת 12|רותם סלע,מערכת ישראל היום,hayom,,
5ba210c7ff609f1a,בעשור התשיעי לחייו פרופ' חננאל מאק מפתיע בספר שירה. ותודה לו על הספר הזה,"בקול צלול, מדויק ולא מתפשר, פרופ' חננאל מאק מציב ספקות מול האמונה, ומוכיח שדווקא בתוך השבר - העברית יודעת לשיר",ספרים,https://www.israelhayom.co.il/wp-content/uploads/2025/09/11/11/Screenshot_6.jpg,"""אֲנִי רוֹחֶפֶת עֲנָנִים, צִפּוֹר כְּחֻלָּה בִּמְעוֹפָהּ""",מערכת ישראל היום,2025-09-12T15:58:34Z,מגזין,רוביק רוזנטל,hayom,,
e4bb2e966dacdbcc,"טראמפ: ""ייתכן שיש 2 חטופים שמתו בימים האחרונים""","הנשיא האמריקני התייחס לסוגיית שחרור החטופים, ואמר: ""אנחנו כבר לא עושים פעימות יותר. תמיד אמרתי ש-20 הסופיים יהיו קשים"" • על הקשר שיצר עם הורי החטופים: ""ההורים מצלצלים אליי. התקרבתי מאוד להרבה מהאנשים האלה"" • גורם ישראלי: ""אין שינוי בתמונת מצב החטופים""",ארצות הברית,https://www.israelhayom.co.il/wp-content/uploads/2025/09/06/06/AFP_738A9C6.jpg,הנשיא טראמפ,אי.אף.פי,2025-09-12T15:58:01Z,דונלד טראמפ|החטופים,"אור שקד, שליח ""ישראל היום"" בארה""ב",hayom,,
99a4877332075ca9,חמאס: חליל אל-חיה לא נהרג. דיווח: מצרים מצמצמת את התיאום הביטחוני עם ישראל,"בהודעה רשמית ראשונה של חמאס בנושא, נטען כי מנהיג ארגון הטרור בעזה לא נהרג בתקיפה בקטאר. עם זאת, תיעוד הם לא פרסמו. לפי דיווח סעודי, בעקבות התקיפה בדוחא החליטה מצרים לצמצם את התיאום עם ישראל ""עד הודעה חדשה""",דעות-פוליטי מדיני-מדיני,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/08/12/H1Fgt0Odeg/H1Fgt0Odeg_0_0_850_479_0_medium.jpg,בנימין נתניהו א-סיסי נשיא מצרים חליל אל חיה,,2025-09-12T15:57:37Z,"מצרים , קטאר , מבצע פסגת האש|מבזקים|דעות|פוליטי מדיני|מדיני",ליאור בן ארי,ynet,,
8ec75ae8dbffad39,משולש אהבה: קרלוס אלקרס ויאניק סינר יצאו עם אותה דוגמנית במקביל?,"באתר הרכילות ""Page Six"" דווח כי הדוגמנית של ""ספורטס אילוסטרייטד"" ברוקס נאדר נועדה עם שני הטניסאים המובילים בעולם במהלך אליפות ארצות הברית הפתוחה • היא צפתה בספרדי מקרוב ואחותה אישרה את הקשר עימו, אחרי שרמזה כי נפגשה עם האיטלקי",ספורט,https://www.israelhayom.co.il/wp-content/uploads/2025/09/08/08/New_DAY27030203_RTRMADP_3_TENNIS-US-OPEN.jpg,קרלוס אלקרס ויאניק סינר,רויטרס,2025-09-12T15:46:35Z,טניס|יאניק סינר|קרלוס אלקרס,מערכת אופסייד,hayom,,
a2be3ee0132ac411,רחב לב ונפש: הצצה לבית שנבנה מחדש במושב בשרון,"זוג בשנות ה־60 החליט להרוס את הבית הישן ולבנות אחד אחר, מותאם להם ולבני המשפחה • האדריכלית שירלי דן מתארת חופש יצירתי מלא שהוביל לבית חמים, יוקרתי ומלא באור",בית ועיצוב,https://www.israelhayom.co.il/wp-content/uploads/2025/09/10/10/אדריכלות-תכנון-ועיצוב-שירלי-דן-צלם-שי-אדם-107.jpg,"אדריכלות, תכנון ועיצוב: שירלי דן",שי אדם,2025-09-12T15:46:00Z,שיפוץ,מערכת ישראל היום,hayom,,
9f5d7a4494557d47,"כוכבת ""חתונמי"" הצטלמה עם בעלה: ""תקופה לא קלה""","כוכבת העונה החמישית של ""חתונה ממבט ראשון"" קטיה אברבוך שיתפה במורכבות התקופה שעוברת עליה. ""הרבה מחשבות על העתיד""",מפה,https://www.israelhayom.co.il/wp-content/uploads/2022/08/11/11/TRW.jpg,תקופה לא קלה. קטיה אברבוך ובעלה ליאור אורן,פיפל פוטוגרפי,2025-09-12T15:20:44Z,חתונה ממבט ראשון,יוסי דלאל,hayom,,
7ed7c8681e5b143e,"טראמפ: ""הרוצח של צ׳ארלי קירק נתפס - מישהו קרוב אליו הסגיר אותו""","נשיא ארה""ב דונלד טראמפ הודיע כי כוחות הבטחון בארצות הברית עצרו חשוד במעורבות בירי בצ'ארלי קירק • ""אני מקווה שהוא יקבל את עונש המוות"", אמר הנשיא • עם זאת, טראמפ ציין כי בשלב זה אינו יודע אם החשוד פעל לבדו",ארצות הברית,https://www.israelhayom.co.il/wp-content/uploads/2025/09/11/11/AFP_744B9EC.jpg,צ'ארלי קירק וטראמפ,אי.אף.פי,2025-09-12T15:18:28Z,,מערכת ישראל היום,hayom,,
bddb177b729293e3,"142 בעד, 10 נגד: האו""ם אישר ברוב מוחץ את ""המסלול הבלתי הפיך למדינה פלסטינית""","בעצרת הכללית של האו""ם אושרה הצהרת ""ניו יורק"" שיזמו צרפת וסעודיה לפתרון הסכסוך הישראלי-פלסטיני - שמביעה תמיכה בפתרון שתי המדינות, לצד גינוי לחמאס ושורת האשמות נגד ישראל. השגריר דנון: ""מעניקה גיבוי לארגון טרור"". מזכיר המדינה האמריקני יגיע לישראל: ""יבהיר מה המטרות המשותפות""",דעות-פוליטי מדיני-מדיני,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/09/12/SkmeNn11ige/SkmeNn11ige_0_215_3000_1688_0_medium.jpg,"העצרת הכללית של האו""ם אישרה את ההצהרה שיזמו צרפת וסעודיה הקוראת לתמיכה בפתרון שתי המדינות",,2025-09-12T15:16:12Z,"או""ם , סעודיה , דני דנון , עצרת האו""ם , מדינה פלסטינית|מבזקים|דעות|פוליטי מדיני|מדיני",איתמר אייכנר,ynet,,
450070b09085f09e,"""ירין לוי מזכיר לי את עצמי בבית""ר ירושלים, התפספסתי בפרמייר ליג""","עידן טל חוגג 50 ונזכר בתחילת הדרך באברטון: ""פול גאסקוין עזר לי להתאקלם, וויין רוני היה פייטר שכמוהו לא ראיתי בשום מקום אחר"" • הקריירה (""הייתי ברמה של מועדונים גדולים באנגליה וספרד""), רוני לוי (""נתן לי להיות חופשי על המגרש"") והתפקיד החדש בפתח תקווה: ""שונים מהנוף של הכדורגל""",כדורגל ישראלי,https://www.israelhayom.co.il/wp-content/uploads/2025/09/12/12/100630dv042.jpg,"אוהדי בית""ר ירושלים מניפים את עידן טל",דודי ועקנין,2025-09-12T15:04:43Z,"בית""ר ירושלים|מכבי חיפה|פרמייר ליג",מיכאל וייסרמן,hayom,,
2af13b29e17dbcbe,רוסיה: צעירה מכרה את נשמתה תמורת 100 אלף רובל - בשביל בובות לבובו,"קארינה בת 26 ממוסקבה חתמה בדם על חוזה מכירת נשמה למומחה שיווק כדי לקנות בובות לאבובו • הכנסייה האורתודוקסית הזהירה מפני ""נפילות מוסריות ואישיות, מחלות, סבל ואף מוות""",גוף ונפש,https://www.israelhayom.co.il/wp-content/uploads/2025/07/06/06/12180684.jpg,לבובו,EPA,2025-09-12T15:00:28Z,לבובו|רוסיה,סוכנויות הידיעות,hayom,,
6dd881534cd0c0e8,"הולנד מצטרפת לחרם: ""לא נשתתף באירוויזיון אם ישראל בפנים""","לא עוד איום מרומז, אלא התחייבות ברורה: תאגיד השידור ההולנדי הודיע כי לא ישתתף באירוויזיון כל עוד ישראל בתחרות • בכך מצטרפת הולנד לעוד מדינה משמעותית שמציבה את ה־EBU בפני הכרעה שתתקבל בדצמבר",מוזיקה,https://www.israelhayom.co.il/wp-content/uploads/2025/08/21/21/WhatsApp-Image-2025-08-20-at-14.04.18.jpeg,לוגו האירוויזיון החדש,ללא,2025-09-12T14:58:28Z,אירוויזיון|הולנד,נתן סטולרו,hayom,,
8d34a79723f54458,אבנר נתניהו שוב ביטל חתונה ושבר את הכלים -  למה זה קרה?,"לחץ משפחתי, פערים בזוגיות או פשוט אינטואיציה חזקה, יש לא מעט סיבות שמובילות גברים לעצור ברגע הקריטי • ההכנות לחופה חושפות את הסדקים בזוגיות - ולפעמים דווקא כאן מתחיל האומץ לבחור אחרת",אהבה ויחסים,https://www.israelhayom.co.il/wp-content/uploads/2025/07/21/21/CG-241210-159.jpg,אבנר נתניהו,חיים גולדברג/פלאש90,2025-09-12T14:40:51Z,אבנר נתניהו|ביטול חתונה|חתונה,מערכת ישראל היום,hayom,,
1351287feab8f709,באיחוד האמירויות זימנו את סגן השגריר הישראלי לשיחת נזיפה,"במדינה הערבית יצאו בחריפות נגד התקיפה בקטאר שנועדה לחסל את צמרת חמאס • שרת המדינה לשת""פ בינלאומי: ""כל תקיפה על מדינה במפרץ, מהווה תקיפה על מערכת הביטחון המשותפת של המפרץ""",פוליטי-מדיני,https://www.israelhayom.co.il/wp-content/uploads/2023/05/22/22/AFP_1WH93E.jpg,"רה""מ נתניהו ונשיא איחוד האמירויות השייח' מוחמד בן זאיד",אי.אף.פי,2025-09-12T14:28:42Z,איחוד האמירויות|שגריר,שחר קליימן,hayom,,
123373b98cf423f7,"פרמייר טק ממשיכה להחביא את ישראל: ""הבקשה הגיעה ישירות מהקבוצה""","מנכ""ל המרוצים בקוויבק ובמונטריאול אישר כי קבוצת הרכיבה לא תישא את שמה המלא, אלא תופיע כ-IPT, כפי שהיה גם בוואלטה אספניה • ""נתמקד במה שקורה על הכביש, ומה שמתרחש מחוצה לו שייך לזכות החוקתית להפגין""",ענפים נוספים,https://www.israelhayom.co.il/wp-content/uploads/2025/09/08/08/New_1EL8N0S0W09_RTRMADP_3_CYCLING-VUELTA-4.jpg,"רוכבי קבוצת ישראל פרמייר טק, עם המילה ""ישראל"" על החולצה",רויטרס,2025-09-12T14:20:14Z,ישראל פרמייר טק|מונטריאול|מרוץ אופניים,אורן אהרוני,hayom,,
0deef1d26a280985,בחום הגיהנום: דני קושמרו מסתכן בטחורים,"בפרק החדש של ""עד הקצה"" ברשת 12, הגיש מנסה לחצות את מדבר ""שערי הגיהנום"" באפריקה ולהגיע להר געש פעיל • החום הנוראי מסכן אותו בטחורים ועקיצות עקרבות מאיימות על בטיחותו",טלוויזיה,https://www.israelhayom.co.il/wp-content/uploads/2025/09/12/12/Capture.jpg,"מתוך ""עד הקצה"" עם דני קושמרו",קשת 12,2025-09-12T14:15:09Z,דני קושמרו|קשת 12,מערכת ישראל היום,hayom,,
5c9e3b730244ea22,"""גם בעתות מלחמה, יש חלופה"": החשודה בהסתה נגד נתניהו שוחררה למעצר בית","ד""ר יולנדה יבור נעצרה בחשד להסתה לאחר שפרסמה סרטון של בית ר""מ נפאל עולה באש בצירוף הכיתוב ""רק כך"". נציג המשטרה טען כי ""הכתיבה חורגת מתחומי חופש הביטוי"", אך במחוזי קיבלו את הערעור ושחררו אותה לבית חברתה לארבעה ימים: ""שהפגיעה בחירות תהיה פחותה""",דעות-חדשות בארץ-משפט ופלילים,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/09/11/ryQBxSmxsge/ryQBxSmxsge_0_78_1500_845_0_medium.jpg,הארכת מעצר ליולנדה יבור,,2025-09-12T14:14:20Z,"בנימין נתניהו , חיפה , הסתה , בית משפט , מעצר|מבזקים|דעות|חדשות בארץ|משפט ופלילים",ליאור אל-חי,ynet,,
35da48011a019d5a,"האכזבה מהממשלה החדשה והטעות של נתניהו: כך בלגיה ""התהפכה"" עלינו","בבלגיה צפויים לאשר בקרוב סנקציות חריפות נגד ישראל, כשברקע מרחפת ההכרה במדינה פלשתינית - תחת התנאי לשחרור החטופים ופירוק חמאס מנשקו • במקביל, האווירה האנטישמית מתלהטת וקיבלה לאחרונה ביטוי בדמות ביטול הופעת המנצח הישראלי להב שני ו""שחזור"" של 7 באוקטובר בבריסל • עם זאת, אוהדי ישראל ויהודים בלגים דווקא מצביעים על אמירת נתניהו כי ""ראש הממשלה של בלגיה חלש"" כטעות אסטרטגית שנעשתה כנגד ידיד ישראל",אירופה,https://www.israelhayom.co.il/wp-content/uploads/2025/04/10/10/8YQ_RTRMADP_3_UKRAINE-CRISIS-BELGIUM.jpg,ראש ממשלת בלגיה,REUTERS,2025-09-12T13:56:02Z,אירופה|אנטישמיות באירופה|בלגיה|המלחמה באנטישמיות|חמאס|סנקציות,"ניסן שטראוכלר, כתבנו באירופה",hayom,,
d027b4f7b5711e9c,"""להיות אחות שכולה זה ללמוד את החיים מחדש"": טקס הזיכרון לחללי חיל התותחנים","902 חללים הונצחו בטקס ההתייחדות השנתי, בהשתתפות משפחות שכולות ובכירי צה""ל • שמונה מהם נפלו במלחמת חרבות ברזל והמפקדים התחייבו להמשיך את מורשתם",חיילים,https://www.israelhayom.co.il/wp-content/uploads/2025/09/12/12/WhatsApp_Image_2025-09-11_at_22.36.20_1.jpeg,טקס הזיכרון לחללי חיל התותחנים,"דובר צה""ל",2025-09-12T13:37:02Z,"חיל התותחנים|חללי צה""ל",מערכת ישראל היום,hayom,,
0891ec402f1ffd0a,הפוליטיקה הכריעה את הטניס: הפעילים הפרו פלשתיניים הרסו את גביע דיוויס,"לאור ההפגנות המתוכננות באולם ומחוצה לו, איגוד הטניס הקנדי הודיע על סגירת היציעים לקראת המפגש עם ישראל • בעוד המוחים לא מתכננים לבטל, נעשתה פגיעה של מיליוני דולרים בהכנסות מתוכננות • הפוליטיקאים, במקום לזעום, מגיבים בסיסמאות • על המגרש, החבורה של יוני ארליך תנסה לחולל סנסציה",ענפים נוספים,https://www.israelhayom.co.il/wp-content/uploads/2025/09/11/11/New_IVAL-TORONTO-THE-ROAD-BETWEEN-US-7.jpg,מחאות פרו פלשתיניות מול מחאות פרו ישראליות בקנדה,רויטרס,2025-09-12T13:32:52Z,גביע דיוויס|גביע דייויס|המאבק באנטישמיות|טניס|נבחרת ישראל בטניס,אורן אהרוני,hayom,,
a2316147c4fbb6c1,"שני פצועים בפיגוע בקיבוץ צובה; השוטר שניטרל את המחבל: ""השתלטתי עליו בידיים""","צוות מד""א מעדכן כי באירוע במלון צובה טופלו שני פצועים - בן 50 במצב קשה ובן 23 במצב בינוני • מהמשטרה נמסר כי המחבל נוטרל על ידי שוטר ששהה בבית המלון • במלון מתנערים מהמקרה, מנהל חברת ההשמה: ״אחיו הגדול עובד במלון, הוא גם הביא את אח שלו""",ביטחוני,https://www.israelhayom.co.il/wp-content/uploads/2025/09/12/12/טרור-במלון.jpg,טרור במלון,27 א,2025-09-12T13:25:10Z,,לידור סולטן,hayom,,
