article_id,guid,title,description,category,image,image_caption,image_credit,pub_date,tags,author,source,language,image_name,fetching_time
u1IrnXA3yVofS_qh,https://www.ynet.co.il/news/article/sylv7j12gl,"""שנה טובה תהיה רק איתם"": משפחות החטופים מציינות את החג מול מעון רה""מ","בערב ראש השנה, מאות הגיעו לרחוב עזה בבירה שם קיימו בני משפחות תפילה ו""ארוחת חג"". אימו של נמרוד כהן: ""רציתי שהוא יהיה כאן ונציין את השנה החדשה. אני מקווה שהחמלה תגיע לליבו של רה""מ, שאולי יחוס עלינו"". שורד השבי אוהד בן עמי: ""את החג הקודם עשיתי במנהרות בעזה. תמונות מהפגנות כאלה חיזקו אותנו""",חדשות|חדשות בארץ|כללי,u1IrnXA3yVofS_qh.jpg,"ארוחת החג מול בית רה""מ בירושלים-ארוחת חג של משפחות החטופים מול בית רה""מ בירושלים",צילום: לירן תמרי,2025-09-22T20:46:37+03:00,חמאס|רצועת עזה|חטופים,לירן תמרי|ליהיא גורדון,ynet,he,Hkg2QZlJ2gx_0_0_3000_2250_0_medium,2025-09-22T18:15:04.342130+00:00
lbz6YpbHOPpMcIXC,https://www.ynet.co.il/news/article/sylv7j12gl,"מאות ב""ארוחת חג"" ברחוב מול מעון רה""מ: ""האהובים שלנו זועקים מהמנהרות וקולם לא נשמע""","בערב ראש השנה, מאות הגיעו לרחוב עזה עם שולחנות מתקפלים - והצטרפו למשפחות חטופים ל""ארוחת חג"". אימו של נמרוד כהן: ""רציתי שהוא יהיה כאן ונציין את השנה החדשה. אני מקווה שהחמלה תגיע לליבו של רה""מ, שאולי יחוס עלינו"". שורד השבי אוהד בן עמי: ""את החג הקודם עשיתי במנהרות בעזה. תמונות מהפגנות כאלה חיזקו אותנו""",חדשות|חדשות בארץ|כללי,lbz6YpbHOPpMcIXC.jpg,"""ארוחת החג"" סמוך למעון רה""מ",צילום: לירן תמרי,2025-09-22T20:46:37+03:00,חמאס|רצועת עזה|חטופים,לירן תמרי|ליהיא גורדון,ynet,he,ryBSWfyhgx_0_240_1280_721_0_medium,2025-09-22T21:09:56.780910+00:00
xnlLe6K2_K3dT6eT,https://www.ynet.co.il/news/article/hkmvg11k3lx,"תוך שעתיים: פעוטה נהרגה מפגיעת רכב בנגב, בת שנתיים נפצעה אנוש במרכז","תושב לקיה אלמא אבו מחארב, כבת שנה וחצי, נהרגה מפגיעת רכב. כשעתיים לאחר מכן פעוטה נוספת כבת שנתיים נפגעה מרכב בקריית עקרון ונפצעה אנוש. במקביל, ילד נפצע קשה באזור ערערה שבנגב לאחר שנפל מגובה, לפי משפחתו",חדשות|חדשות בארץ|כללי,xnlLe6K2_K3dT6eT.jpg,"אלמא אבו מחארב, שנהרגה מפגיעת הרכב בלקיה",ynet,2025-09-22T20:18:22+03:00,תאונות דרכים|ילדים|נגב|ילדה|פעוטות|ילד|קריית עקרון,חסן שעלאן|אילנה קוריאל|מאיר תורג'מן,ynet,he,rkxOtbyhgg_0_57_1280_721_0_medium,2025-09-22T18:15:04.342222+00:00
tR6-rbf5UekEHzhh,https://www.ynet.co.il/news/article/hkmvg11k3lx,"תוך שעתיים: פעוטה וילד נהרגו בתאונות בנגב, בת שנתיים נפצעה אנוש במרכז","תושבת לקיה אלמא אבו מחארב, כבת שנה וחצי, נהרגה מפגיעת רכב. כשעתיים לאחר מכן פעוטה נוספת כבת שנתיים נפגעה מרכב בקריית עקרון ונפצעה אנוש. במקביל, ילד (7) מהיישוב אבו קרינאת נפצע אנוש בתאונה ביישוב, ומותו נקבע לאחר כמה שעות. המשטרה חוקרת את האירוע",חדשות|חדשות בארץ|כללי,tR6-rbf5UekEHzhh.jpg,"ריאן אבו קרינאת, אלמא אבו מחארב",ynet,2025-09-22T20:18:22+03:00,תאונות דרכים|ילדים|נגב|ילדה|פעוטות|ילד|קריית עקרון,חסן שעלאן|אילנה קוריאל|מאיר תורג'מן,ynet,he,rJog6Xynlx_0_0_850_479_0_medium,2025-09-22T21:09:56.780959+00:00
Fss3kINx_khgwobp,https://www.ynet.co.il/news/article/hjsrjyynlx,"הוריו של אלון אהל: רועדים, להציב תנאי לחמאס - סיוע נוסף רק אם רופאי עיניים יטפלו בו","משפחתו של הפסנתרן המחונן, שחמאס פרסם סרטון שני שלו תוך חודש, הזהירה כי ניכר שהוא מאבד ראייה בעין ימין. ""הוא נראה רזה ומבוהל"", אמרו ההורים, שניסו שוב לפנות לשר הביטחון כ""ץ - שטרם נפגש או שוחח עימם מאז הסרטון הראשון. על העיתוי המטלטל אמרו: ""גורל חייהם של יהודים צעירים נמצא בידי רה""מ""",חדשות|חדשות בארץ|כללי,Fss3kINx_khgwobp.jpg,צילום: מוטי קמחי,צילום: מוטי קמחי,2025-09-22T18:36:07+03:00,חמאס|רצועת עזה|חטופים|אלון אהל,ליהיא גורדון,ynet,he,SyjlIbccll_0_0_850_479_0_medium,2025-09-22T18:15:04.342269+00:00
uhnx0zqGqpXf3_wO,https://www.ynet.co.il/news/article/sy1hnr0slx,פקקים בדרך לארוחת החג: אלה הכבישים העמוסים,"באיילון, בכביש החוף, בכביש 6 וגם ב-4: עומסים כבדים בדרך לארוחות החג. אלה המוקדים המרכזיים",חדשות|חדשות בארץ|כללי,uhnx0zqGqpXf3_wO.jpg,פקקים באזור פולג בערב ראש השנה,צילום: טל שחר,2025-09-22T17:49:56+03:00,ראש השנה|חג|פקק תנועה,סיון חילאי,ynet,he,HJGvA8pAjxx_0_0_1280_720_0_medium,2025-09-22T15:11:41.924092+00:00
QmrLfMLMk4kJbqEa,https://www.ynet.co.il/news/article/bytvtaajgx,"כאוס במילאנו, מהומות גם ברומא: ""אי אפשר להמשיך עם מה שקורה בעזה"" | תיעוד","המחאות באיטליה למען עזה: במילאנו התפרעו בתחנת הרכבת והתעמתו עם שוטרים, ברומא ובבולוניה נחסמה האוטוסטרדה המרכזית. ""זה הזמן לעשות משהו מעבר לרק להפגין כדי להעביר מסר - צריך לבודד את ישראל"", אמר ל-ynet אחד המוחים. מפגינה אחרת: ""המחאה נגד ממשלת ישראל - לא נגד הישראלים""",חדשות|פוליטי מדיני|מדיני,QmrLfMLMk4kJbqEa.jpg,מחאה פרו-פלסטינית במילאנו,צילום: PIERO CRUCIATTI / AFP,2025-09-22T17:31:51+03:00,איטליה|רומא|מילאנו|מחאה אנטי-ישראלית,דניאל בטיני,ynet,he,Sk9zm0Asel_0_0_3000_1689_0_medium,2025-09-22T15:11:41.924195+00:00
kXk-_OTFRMUMbZxI,https://www.ynet.co.il/news/article/rkjvzr0jex,"24 טונות אנטריקוט, 12 טונות טופו, ומה יאכלו בעזה? היערכות הענק בצה""ל לחגי תשרי","עם צוותי רחפנים להטלת אספקה בנקודות מסוכנות, אלפי טונות של מזון לכל האוכלוסיות וצוותי ביקורת לניטור תקלות ומחסורים, הושלמו ההכנות באט""ל למבצע לוגיסטי ענק שיספק ארוחות ליותר מ-100 אלף חיילי סדיר ומילואים. כך זה ייראה",חדשות|פוליטי מדיני|צבא וביטחון,kXk-_OTFRMUMbZxI.jpg,"סיור בכירי אגף והלוגיסטיקה לקראת היערכות צה""ל לחגי תשרי-סיור בכירי אגף הטכנולוגיה והלוגיסטיקה לקראת היערכות צה""ל לחגי תשרי","צילום: דובר צה""ל",2025-09-22T17:30:35+03:00,"צה""ל|ראש השנה|חגים|חג",יואב זיתון,ynet,he,HyS5nfAAile_0_106_1601_901_0_medium,2025-09-22T15:11:41.924269+00:00
BDA4PUXuNN8x6txk,https://www.ynet.co.il/news/article/s1jfjcrjxx,"הרוג בתאונה סמוך ללטרון: ""רכב אחד נתקע מעל מעקה ההפרדה""",גבר כבן 40 נהרג בהתנגשות בין שתי מכוניות בכביש 3. פצוע נוסף טופל בזירה,חדשות|חדשות בארץ|כללי,BDA4PUXuNN8x6txk.jpg,זירת התאונה-הרוג ופצוע בתאונת דרכים סמוך למבוא חורון,"צילום: תיעוד מבצעי מד""א",2025-09-22T17:29:08+03:00,תאונות דרכים|תאונת דרכים|לטרון,מאיר תורג'מן,ynet,he,HJjaiCAjxg_0_68_1280_721_0_medium,2025-09-22T15:11:41.924324+00:00
pT-QWHirGLEV2gHE,https://www.ynet.co.il/news/article/rjf2o9rjll,בערב ראש השנה: חמאס פרסם סרטון של החטוף אלון אהל,"בערב החג, פרסם ארגון הטרור סרטון של הפסנתרן המחונן שנחטף ממסיבת הנובה - ובו הוא מדבר. בתחילת החודש התקבל אות חיים מצולם ראשון שלו, כשהופיע לרגעים בודדים לצד גיא גלבוע דלאל. משפחתו שיתפה: ""מהתייעצויות עם מומחי עיניים ברור שהוא לא רואה בעינו הימנית""",חדשות|פוליטי מדיני|צבא וביטחון,pT-QWHirGLEV2gHE.jpg,אלון אהל בסרטון שפרסם חמאס,ynet,2025-09-22T16:58:03+03:00,חמאס|חטופים|חרבות ברזל|אלון אהל,עינב חלבי,ynet,he,SyP4110Y5ge_0_45_610_344_0_medium,2025-09-22T15:11:41.924366+00:00
